P0 1000.0
u0 1000.0
v0 0.0
T0 300.0
gam 1.4
accur 0
iaxi 1
ivisc 0
niter 100000
cfl 0.1
tol 0.000001
printiter 1
saveiter 1000
damp 0.9
duscale 0.5
mxangle (not imp)0.0
==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(121, 81), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:     96	dt:4.6378e-08 		 RelativeTotalResisual:  7.12373e-01 
Iter:     97	dt:4.6378e-08 		 RelativeTotalResisual:  7.10457e-01 
Iter:     98	dt:4.6378e-08 		 RelativeTotalResisual:  7.08557e-01 
Iter:     99	dt:4.6378e-08 		 RelativeTotalResisual:  7.06674e-01 
Iter:    100	dt:4.6378e-08 		 RelativeTotalResisual:  7.04808e-01 
Iter:    101	dt:4.6378e-08 		 RelativeTotalResisual:  7.02957e-01 
Iter:    102	dt:4.6378e-08 		 RelativeTotalResisual:  7.01122e-01 
Iter:    103	dt:4.6378e-08 		 RelativeTotalResisual:  6.99302e-01 
Iter:    104	dt:4.6378e-08 		 RelativeTotalResisual:  6.97499e-01 
Iter:    105	dt:4.6378e-08 		 RelativeTotalResisual:  6.95710e-01 
Iter:    106	dt:4.6378e-08 		 RelativeTotalResisual:  6.93937e-01 
Iter:    107	dt:4.6378e-08 		 RelativeTotalResisual:  6.92179e-01 
Iter:    108	dt:4.6378e-08 		 RelativeTotalResisual:  6.90436e-01 
Iter:    109	dt:4.6378e-08 		 RelativeTotalResisual:  6.88708e-01 
Iter:    110	dt:4.6378e-08 		 RelativeTotalResisual:  6.86994e-01 
Iter:    111	dt:4.6378e-08 		 RelativeTotalResisual:  6.85295e-01 
Iter:    112	dt:4.6378e-08 		 RelativeTotalResisual:  6.83610e-01 
Iter:    113	dt:4.6378e-08 		 RelativeTotalResisual:  6.81940e-01 
Iter:    114	dt:4.6378e-08 		 RelativeTotalResisual:  6.80283e-01 
Iter:    115	dt:4.6378e-08 		 RelativeTotalResisual:  6.78641e-01 
Iter:    116	dt:4.6378e-08 		 RelativeTotalResisual:  6.77012e-01 
Iter:    117	dt:4.6378e-08 		 RelativeTotalResisual:  6.75397e-01 
Iter:    118	dt:4.6378e-08 		 RelativeTotalResisual:  6.73795e-01 
Iter:    119	dt:4.6378e-08 		 RelativeTotalResisual:  6.72207e-01 
Iter:    120	dt:4.6378e-08 		 RelativeTotalResisual:  6.70632e-01 
Iter:    121	dt:4.6378e-08 		 RelativeTotalResisual:  6.69071e-01 
Iter:    122	dt:4.6378e-08 		 RelativeTotalResisual:  6.67522e-01 
Iter:    123	dt:4.6378e-08 		 RelativeTotalResisual:  6.65986e-01 
Iter:    124	dt:4.6378e-08 		 RelativeTotalResisual:  6.64463e-01 
Iter:    125	dt:4.6378e-08 		 RelativeTotalResisual:  6.62952e-01 
Iter:    126	dt:4.6378e-08 		 RelativeTotalResisual:  6.61454e-01 
Iter:    127	dt:4.6378e-08 		 RelativeTotalResisual:  6.59969e-01 
Iter:    128	dt:4.6378e-08 		 RelativeTotalResisual:  6.58496e-01 
Iter:    129	dt:4.6378e-08 		 RelativeTotalResisual:  6.57034e-01 
Iter:    130	dt:4.6378e-08 		 RelativeTotalResisual:  6.55585e-01 
Iter:    131	dt:4.6378e-08 		 RelativeTotalResisual:  6.54148e-01 
Iter:    132	dt:4.6378e-08 		 RelativeTotalResisual:  6.52722e-01 
Iter:    133	dt:4.6378e-08 		 RelativeTotalResisual:  6.51308e-01 
Iter:    134	dt:4.6378e-08 		 RelativeTotalResisual:  6.49906e-01 
Iter:    135	dt:4.6378e-08 		 RelativeTotalResisual:  6.48515e-01 
Iter:    136	dt:4.6378e-08 		 RelativeTotalResisual:  6.47136e-01 
Iter:    137	dt:4.6378e-08 		 RelativeTotalResisual:  6.45767e-01 
Iter:    138	dt:4.6378e-08 		 RelativeTotalResisual:  6.44410e-01 
Iter:    139	dt:4.6378e-08 		 RelativeTotalResisual:  6.43064e-01 
Iter:    140	dt:4.6378e-08 		 RelativeTotalResisual:  6.41728e-01 
Iter:    141	dt:4.6378e-08 		 RelativeTotalResisual:  6.40404e-01 
Iter:    142	dt:4.6378e-08 		 RelativeTotalResisual:  6.39090e-01 
Iter:    143	dt:4.6378e-08 		 RelativeTotalResisual:  6.37787e-01 
Iter:    144	dt:4.6378e-08 		 RelativeTotalResisual:  6.36494e-01 
Iter:    145	dt:4.6378e-08 		 RelativeTotalResisual:  6.35211e-01 
Iter:    146	dt:4.6378e-08 		 RelativeTotalResisual:  6.33939e-01 
Iter:    147	dt:4.6378e-08 		 RelativeTotalResisual:  6.32677e-01 
Iter:    148	dt:4.6378e-08 		 RelativeTotalResisual:  6.31425e-01 
Iter:    149	dt:4.6378e-08 		 RelativeTotalResisual:  6.30182e-01 
Iter:    150	dt:4.6378e-08 		 RelativeTotalResisual:  6.28950e-01 
Iter:    151	dt:4.6378e-08 		 RelativeTotalResisual:  6.27728e-01 
Iter:    152	dt:4.6378e-08 		 RelativeTotalResisual:  6.26515e-01 
Iter:    153	dt:4.6378e-08 		 RelativeTotalResisual:  6.25312e-01 
Iter:    154	dt:4.6378e-08 		 RelativeTotalResisual:  6.24118e-01 
Iter:    155	dt:4.6378e-08 		 RelativeTotalResisual:  6.22933e-01 
Iter:    156	dt:4.6378e-08 		 RelativeTotalResisual:  6.21758e-01 
Iter:    157	dt:4.6378e-08 		 RelativeTotalResisual:  6.20592e-01 
Iter:    158	dt:4.6378e-08 		 RelativeTotalResisual:  6.19436e-01 
Iter:    159	dt:4.6378e-08 		 RelativeTotalResisual:  6.18288e-01 
Iter:    160	dt:4.6378e-08 		 RelativeTotalResisual:  6.17149e-01 
Iter:    161	dt:4.6378e-08 		 RelativeTotalResisual:  6.16019e-01 
Iter:    162	dt:4.6378e-08 		 RelativeTotalResisual:  6.14898e-01 
Iter:    163	dt:4.6378e-08 		 RelativeTotalResisual:  6.13785e-01 
Iter:    164	dt:4.6378e-08 		 RelativeTotalResisual:  6.12681e-01 
Iter:    165	dt:4.6378e-08 		 RelativeTotalResisual:  6.11586e-01 
Iter:    166	dt:4.6378e-08 		 RelativeTotalResisual:  6.10499e-01 
Iter:    167	dt:4.6378e-08 		 RelativeTotalResisual:  6.09420e-01 
Iter:    168	dt:4.6378e-08 		 RelativeTotalResisual:  6.08349e-01 
Iter:    169	dt:4.6378e-08 		 RelativeTotalResisual:  6.07287e-01 
Iter:    170	dt:4.6378e-08 		 RelativeTotalResisual:  6.06233e-01 
Iter:    171	dt:4.6378e-08 		 RelativeTotalResisual:  6.05187e-01 
Iter:    172	dt:4.6378e-08 		 RelativeTotalResisual:  6.04149e-01 
Iter:    173	dt:4.6378e-08 		 RelativeTotalResisual:  6.03118e-01 
Iter:    174	dt:4.6378e-08 		 RelativeTotalResisual:  6.02096e-01 
Iter:    175	dt:4.6378e-08 		 RelativeTotalResisual:  6.01081e-01 
Iter:    176	dt:4.6378e-08 		 RelativeTotalResisual:  6.00073e-01 
Iter:    177	dt:4.6378e-08 		 RelativeTotalResisual:  5.99074e-01 
Iter:    178	dt:4.6378e-08 		 RelativeTotalResisual:  5.98082e-01 
Iter:    179	dt:4.6378e-08 		 RelativeTotalResisual:  5.97097e-01 
Iter:    180	dt:4.6378e-08 		 RelativeTotalResisual:  5.96119e-01 
Iter:    181	dt:4.6378e-08 		 RelativeTotalResisual:  5.95149e-01 
Iter:    182	dt:4.6378e-08 		 RelativeTotalResisual:  5.94186e-01 
Iter:    183	dt:4.6378e-08 		 RelativeTotalResisual:  5.93230e-01 
Iter:    184	dt:4.6378e-08 		 RelativeTotalResisual:  5.92282e-01 
Iter:    185	dt:4.6378e-08 		 RelativeTotalResisual:  5.91340e-01 
Iter:    186	dt:4.6378e-08 		 RelativeTotalResisual:  5.90405e-01 
Iter:    187	dt:4.6378e-08 		 RelativeTotalResisual:  5.89477e-01 
Iter:    188	dt:4.6378e-08 		 RelativeTotalResisual:  5.88556e-01 
Iter:    189	dt:4.6378e-08 		 RelativeTotalResisual:  5.87641e-01 
Iter:    190	dt:4.6378e-08 		 RelativeTotalResisual:  5.86734e-01 
Iter:    191	dt:4.6378e-08 		 RelativeTotalResisual:  5.85832e-01 
Iter:    192	dt:4.6378e-08 		 RelativeTotalResisual:  5.84938e-01 
Iter:    193	dt:4.6378e-08 		 RelativeTotalResisual:  5.84050e-01 
Iter:    194	dt:4.6378e-08 		 RelativeTotalResisual:  5.83168e-01 
Iter:    195	dt:4.6378e-08 		 RelativeTotalResisual:  5.82292e-01 
Iter:    196	dt:4.6378e-08 		 RelativeTotalResisual:  5.81423e-01 
Iter:    197	dt:4.6378e-08 		 RelativeTotalResisual:  5.80560e-01 
Iter:    198	dt:4.6378e-08 		 RelativeTotalResisual:  5.79703e-01 
Iter:    199	dt:4.6378e-08 		 RelativeTotalResisual:  5.78853e-01 
Iter:    200	dt:4.6378e-08 		 RelativeTotalResisual:  5.78008e-01 
Iter:    201	dt:4.6378e-08 		 RelativeTotalResisual:  5.77169e-01 
Iter:    202	dt:4.6378e-08 		 RelativeTotalResisual:  5.76337e-01 
Iter:    203	dt:4.6378e-08 		 RelativeTotalResisual:  5.75510e-01 
Iter:    204	dt:4.6378e-08 		 RelativeTotalResisual:  5.74689e-01 
Iter:    205	dt:4.6378e-08 		 RelativeTotalResisual:  5.73874e-01 
Iter:    206	dt:4.6378e-08 		 RelativeTotalResisual:  5.73064e-01 
