==================== Loading Mesh ====================
Reading Mesh File..... 
::  0:: Scanning Headers
::  0:: (nx,ny)=(140, 41), Now Scanning Nodes....
::  0:: Scanning BCs
Reading Block Connectivity File..... 
::  0:: opened conn file 
::  0::Calculating Grid Metrics..... 
==================== Initializing ====================
===== Generating Mesh and Initial State Tecplot Files ====
==================== Starting Solver ====================
Iter:     79	dt:2.3208e-07 		 RelativeTotalResisual:  1.20526e+00 	 damp:0.950000, duscale:0.700000
Iter:     80	dt:2.3518e-07 		 RelativeTotalResisual:  1.20841e+00 	 damp:0.950000, duscale:0.700000
Iter:     81	dt:2.3890e-07 		 RelativeTotalResisual:  1.20754e+00 	 damp:0.950000, duscale:0.700000
Iter:     82	dt:2.4293e-07 		 RelativeTotalResisual:  1.20743e+00 	 damp:0.950000, duscale:0.700000
Iter:     83	dt:2.4637e-07 		 RelativeTotalResisual:  1.20425e+00 	 damp:0.950000, duscale:0.700000
Iter:     84	dt:2.4889e-07 		 RelativeTotalResisual:  1.19366e+00 	 damp:0.950000, duscale:0.700000
Iter:     85	dt:2.5081e-07 		 RelativeTotalResisual:  1.15248e+00 	 damp:0.950000, duscale:0.700000
Iter:     86	dt:2.5244e-07 		 RelativeTotalResisual:  1.10129e+00 	 damp:0.950000, duscale:0.700000
Iter:     87	dt:2.5375e-07 		 RelativeTotalResisual:  1.06040e+00 	 damp:0.950000, duscale:0.700000
Iter:     88	dt:2.5474e-07 		 RelativeTotalResisual:  1.03027e+00 	 damp:0.950000, duscale:0.700000
Iter:     89	dt:2.5540e-07 		 RelativeTotalResisual:  1.00941e+00 	 damp:0.950000, duscale:0.700000
Iter:     90	dt:2.5579e-07 		 RelativeTotalResisual:  9.97372e-01 	 damp:0.950000, duscale:0.700000
Iter:     91	dt:2.5595e-07 		 RelativeTotalResisual:  9.90854e-01 	 damp:0.950000, duscale:0.700000
Iter:     92	dt:2.5592e-07 		 RelativeTotalResisual:  9.80299e-01 	 damp:0.950000, duscale:0.700000
Iter:     93	dt:2.5576e-07 		 RelativeTotalResisual:  9.57494e-01 	 damp:0.950000, duscale:0.700000
Iter:     94	dt:2.5554e-07 		 RelativeTotalResisual:  9.25615e-01 	 damp:0.950000, duscale:0.700000
Iter:     95	dt:2.5526e-07 		 RelativeTotalResisual:  8.84234e-01 	 damp:0.950000, duscale:0.700000
Iter:     96	dt:2.5523e-07 		 RelativeTotalResisual:  8.33374e-01 	 damp:0.950000, duscale:0.700000
Iter:     97	dt:2.5566e-07 		 RelativeTotalResisual:  7.90315e-01 	 damp:0.950000, duscale:0.700000
Iter:     98	dt:2.5661e-07 		 RelativeTotalResisual:  7.66407e-01 	 damp:0.950000, duscale:0.700000
Iter:     99	dt:2.5808e-07 		 RelativeTotalResisual:  7.66773e-01 	 damp:0.950000, duscale:0.700000
Iter:    100	dt:2.5997e-07 		 RelativeTotalResisual:  7.82808e-01 	 damp:0.950000, duscale:0.700000
