630,	4.351900e-01
631,	4.350491e-01
632,	4.349085e-01
633,	4.347682e-01
634,	4.346283e-01
635,	4.344886e-01
636,	4.343493e-01
637,	4.342103e-01
638,	4.340715e-01
639,	4.339331e-01
640,	4.337950e-01
641,	4.336573e-01
642,	4.335198e-01
643,	4.333826e-01
644,	4.332457e-01
645,	4.331091e-01
646,	4.329728e-01
647,	4.328369e-01
648,	4.327012e-01
649,	4.325658e-01
650,	4.324307e-01
651,	4.322959e-01
652,	4.321614e-01
653,	4.320272e-01
654,	4.318932e-01
655,	4.317596e-01
656,	4.316262e-01
657,	4.314932e-01
658,	4.313604e-01
659,	4.312279e-01
660,	4.310957e-01
661,	4.309637e-01
662,	4.308321e-01
663,	4.307007e-01
664,	4.305696e-01
665,	4.304388e-01
666,	4.303082e-01
667,	4.301779e-01
668,	4.300479e-01
669,	4.299182e-01
670,	4.297888e-01
671,	4.296596e-01
672,	4.295307e-01
673,	4.294020e-01
674,	4.292736e-01
675,	4.291455e-01
676,	4.290177e-01
677,	4.288901e-01
678,	4.287628e-01
679,	4.286357e-01
680,	4.285089e-01
681,	4.283823e-01
682,	4.282561e-01
683,	4.281300e-01
684,	4.280043e-01
685,	4.278788e-01
686,	4.277535e-01
687,	4.276285e-01
688,	4.275037e-01
689,	4.273792e-01
690,	4.272550e-01
691,	4.271310e-01
692,	4.270072e-01
693,	4.268837e-01
694,	4.267604e-01
695,	4.266374e-01
696,	4.265147e-01
697,	4.263921e-01
698,	4.262699e-01
699,	4.261478e-01
700,	4.260260e-01
701,	4.259045e-01
702,	4.257831e-01
703,	4.256621e-01
704,	4.255412e-01
705,	4.254206e-01
706,	4.253002e-01
707,	4.251801e-01
708,	4.250602e-01
709,	4.249405e-01
710,	4.248211e-01
711,	4.247019e-01
712,	4.245829e-01
713,	4.244641e-01
714,	4.243456e-01
715,	4.242273e-01
716,	4.241093e-01
717,	4.239914e-01
718,	4.238738e-01
719,	4.237564e-01
720,	4.236393e-01
721,	4.235223e-01
722,	4.234056e-01
723,	4.232891e-01
724,	4.231728e-01
725,	4.230568e-01
726,	4.229409e-01
