60 50
9.945436978929948e-04 9.994459687786149e-04 0.000000000000000e+00
9.937416020932110e-04 1.165410741037621e-03 0.000000000000000e+00
9.930352846996356e-04 1.331377991834706e-03 0.000000000000000e+00
9.924031377473565e-04 1.497366654136497e-03 0.000000000000000e+00
9.918363477437273e-04 1.663385989146335e-03 0.000000000000000e+00
9.913137298214070e-04 1.829432833623526e-03 0.000000000000000e+00
9.908379044766499e-04 1.995513324196899e-03 0.000000000000000e+00
9.903915500940534e-04 2.161619762997731e-03 0.000000000000000e+00
9.899801577115583e-04 2.327761255565345e-03 0.000000000000000e+00
9.895898849577810e-04 2.493927443641634e-03 0.000000000000000e+00
9.892254552463875e-04 2.660127794236456e-03 0.000000000000000e+00
9.888773208922980e-04 2.826351393304859e-03 0.000000000000000e+00
9.885488803261537e-04 2.992611884208548e-03 0.000000000000000e+00
9.882343759890200e-04 3.158898454123993e-03 0.000000000000000e+00
9.879354894646241e-04 3.325226312949773e-03 0.000000000000000e+00
9.876496442891192e-04 3.491583061893536e-03 0.000000000000000e+00
9.873769386752060e-04 3.657988952576535e-03 0.000000000000000e+00
9.871173497745464e-04 3.824431712374912e-03 0.000000000000000e+00
9.868698372490871e-04 3.990934490698086e-03 0.000000000000000e+00
9.866360586882812e-04 4.157483075837209e-03 0.000000000000000e+00
9.864176158346965e-04 4.324109596389309e-03 0.000000000000000e+00
9.862155339890306e-04 4.490799617350547e-03 0.000000000000000e+00
9.860314530120025e-04 4.657592472530373e-03 0.000000000000000e+00
9.858670628343342e-04 4.824471167151963e-03 0.000000000000000e+00
9.857271483450316e-04 4.991488726760954e-03 0.000000000000000e+00
9.856157695197286e-04 5.158630421473963e-03 0.000000000000000e+00
9.855366435591914e-04 5.325962465189792e-03 0.000000000000000e+00
9.854967964152035e-04 5.493472632715771e-03 0.000000000000000e+00
9.855039047903722e-04 5.661247259467913e-03 0.000000000000000e+00
9.855702547218554e-04 5.829289964485015e-03 0.000000000000000e+00
9.857061034969400e-04 5.997710042943838e-03 0.000000000000000e+00
9.859240953608720e-04 6.166539602809586e-03 0.000000000000000e+00
9.862372498190785e-04 6.335910738079077e-03 0.000000000000000e+00
9.866558268644297e-04 6.505928473797227e-03 0.000000000000000e+00
9.871973878708565e-04 6.676753777960282e-03 0.000000000000000e+00
9.878289561889354e-04 6.848610927564216e-03 0.000000000000000e+00
9.885365603234015e-04 7.021682271374321e-03 0.000000000000000e+00
9.891803865499087e-04 7.196317326045945e-03 0.000000000000000e+00
9.896000056869455e-04 7.372625932528809e-03 0.000000000000000e+00
9.894787891156979e-04 7.550971558236561e-03 0.000000000000000e+00
9.880506080635065e-04 7.730942308956409e-03 0.000000000000000e+00
9.845619133391596e-04 7.912430673993843e-03 0.000000000000000e+00
9.770862008326685e-04 8.093441653603713e-03 0.000000000000000e+00
9.629640197141817e-04 8.269629925519972e-03 0.000000000000000e+00
1.982146959954634e-03 0.000000000000000e+00 0.000000000000000e+00
1.981831341642450e-03 1.730069865059126e-04 0.000000000000000e+00
1.980792743260932e-03 3.446367088862788e-04 0.000000000000000e+00
1.979421112570540e-03 5.155236102455770e-04 0.000000000000000e+00
1.977858968838753e-03 6.858740100259538e-04 0.000000000000000e+00
1.976314784234554e-03 8.560171079379853e-04 0.000000000000000e+00
1.974787085192973e-03 1.025993058354316e-03 0.000000000000000e+00
1.973357196247913e-03 1.195927325761997e-03 0.000000000000000e+00
1.972009171196254e-03 1.365842533116032e-03 0.000000000000000e+00
1.970749326384674e-03 1.535778078417143e-03 0.000000000000000e+00
1.969582949478132e-03 1.705755928511107e-03 0.000000000000000e+00
1.968482577426584e-03 1.875773781825283e-03 0.000000000000000e+00
1.967462558714958e-03 2.045847642001371e-03 0.000000000000000e+00
1.966492740739519e-03 2.215965386679644e-03 0.000000000000000e+00
1.965588328577965e-03 2.386147812296865e-03 0.000000000000000e+00
1.964723811637281e-03 2.556376290326102e-03 0.000000000000000e+00
1.963910741446678e-03 2.726671232147249e-03 0.000000000000000e+00
1.963131229945065e-03 2.897012193112340e-03 0.000000000000000e+00
1.962393222334520e-03 3.067427378080884e-03 0.000000000000000e+00
1.961686074959249e-03 3.237896309414444e-03 0.000000000000000e+00
1.961013967761950e-03 3.408449956287890e-03 0.000000000000000e+00
1.960372488592770e-03 3.579064670617599e-03 0.000000000000000e+00
1.959762627012474e-03 3.749781538974510e-03 0.000000000000000e+00
1.959185052207533e-03 3.920577366523232e-03 0.000000000000000e+00
1.958638611241671e-03 4.091499091995154e-03 0.000000000000000e+00
1.958127274579629e-03 4.262519881965961e-03 0.000000000000000e+00
1.957655306937306e-03 4.433705078960752e-03 0.000000000000000e+00
1.957225340654629e-03 4.605027667144748e-03 0.000000000000000e+00
